person_id,name,legal_balls,cricinfo_id,bowling_style,source
ffe699c0,CJ Jordan,674,288992,pace,web
26a85969,R Dhawan,662,290727,pace,web
6aed7e79,PV Tambe,660,587152,spin,web
f9e6e7ef,Shahbaz Ahmed,655,1159711,spin,web
c33d8116,Mohsin Khan (2),654,1132005,pace,web
77b1aa15,Harshit Rana,649,1312645,pace,web
c38d3503,Shivam Mavi,649,1079848,pace,web
c404f58a,DP Nannes,646,6981,pace,web
f834dcfc,L Ngidi,620,542023,pace,web
bd17b45f,STR Binny,594,27223,pace,web
90de905a,K Gowtham,588,424377,spin,web
45c2196c,DE Bollinger,576,4508,pace,web
557153ca,KK Cooper,576,371814,pace,web
eaa76d3c,C Green,571,1076713,pace,web
3d8feaf8,MR Marsh,560,272450,pace,web
db584dad,CH Gayle,554,51880,spin,web
13fc5c6d,DS Rathi,546,1460529,spin,web-search
35205dfc,DR Smith,539,53118,pace,web
9a158001,Azhar Mahmood,537,39024,pace,web
db31895a,AS Rajpoot,529,591650,pace,web
bd77eb62,A Symonds,527,7702,pace,user
2a72fd4f,Harmeet Singh,525,391128,pace,web
871e9faf,Basil Thampi,521,732291,pace,web
54e52590,Vijaykumar Vyshak,519,777815,pace,web
81c08fa3,Umran Malik,493,1246528,pace,web
fcc21ace,A Kamboj,491,1175428,pace,web
b8527c3d,Rasikh Salam,488,1161489,pace,web
5750bcb4,E Malinga,486,1306214,pace,web
765a4731,Mukesh Choudhary,483,1125688,pace,web
d8b2f218,BB Sran,483,537126,pace,web
5b040b81,A Singh,473,26789,pace,web
addfb70e,SW Tait,473,8076,pace,web
14f96089,A Zampa,467,379504,spin,web
4b31f3a3,Yash Thakur,467,1070196,pace,web
c7a995d3,R Sai Kishore,465,1048739,spin,web
e0407c01,IC Pandey,462,447439,pace,web
f708a0bc,GB Hogg,458,5681,spin,web
80b2fb19,Prince Yadav,450,1350768,pace,web-search
7d92277a,Mujeeb Ur Rahman,446,974109,spin,web
2cdce1be,C Sakariya,444,1131754,pace,web
05c2ca46,RE van der Merwe,443,47850,spin,web
4c5d73db,CR Woakes,440,247235,pace,web
b0946605,AS Joseph,434,670031,pace,web
c18496e1,Bipul Sharma,426,35928,spin,web
5d096f3d,RR Powar,426,32391,spin,web
4125d931,J Suchith,420,527663,spin,web
ab89348d,MF Maharoof,420,49638,pace,web
62af8546,Mohammad Nabi,417,25913,spin,web
69be866a,Anureet Singh,412,376324,pace,web
327b58d3,PVD Chameera,396,552152,pace,web
81049310,J Yadav,390,447587,spin,web
64775749,RP Meredith,388,961713,pace,web
c0c411cb,Naveen-ul-Haq,387,793447,pace,web
73ad96ed,DJ Hooda,379,497121,spin,web
9eb1455b,NT Ellis,378,826915,pace,web
12314277,Arshad Khan (2),376,1244751,pace,web
f3171936,BW Hilfenhaus,372,5941,pace,web
24d94623,Ankit Sharma,367,422992,spin,web
4933f499,JP Behrendorff,366,272477,pace,web
