person_id,name,matches,cricinfo_id,archive_says,illegal_xis,cap_proves_domestic,nationality
e9c7f0d0,Fazalhaq Farooqi,12,974175,,,,Afghanistan
b483905d,Akash Singh,12,1175458,,,,India
ef5da05c,AG Murtaza,12,26490,,,,India
99b202b3,A Chandila,12,27783,,,,India
3dba85c2,WA Mota,11,31041,,,,India
d7423da1,Salil Arora,11,1199281,,,,India
280fff14,Sakib Hussain,11,1340422,,,,India
2461eef2,PA Reddy,11,376109,,,,India
7b679de5,Kartik Sharma,11,1459392,,,,India
edb3d4f8,KC Cariappa,11,777537,,,,India
c64c2443,J Syed Mohammad,11,35261,,,,India
25228673,Harsh Dubey,11,1216159,,,,India
378daa89,Aman Hakim Khan,11,1254269,,,,India
9ca68676,AM Ghazanfar,11,1326798,,,,Afghanistan
36619795,Zeeshan Ansari,10,942371,,,,India
cf59b3f0,Urvil Patel,10,1131570,,,,India
facb9086,SD Chitnis,10,337916,,,,India
1da489ff,S Kaushik,10,917213,,,,India
60500956,RV Patel,10,1201520,,,,India
5f4e9e8f,RR Raje,10,290713,,,,India
ba6b2f91,RA Bawa,10,1292502,,,,India
addbde6c,N Saini,10,274785,,,,India
bd54eef5,N Jagadeesan,10,1048813,,,,India
1c84109e,MD Choudhary,10,1354217,,,,India
1ac746c8,Atharva Taide,10,1125958,,,,India
d45c29b1,Ashwani Kumar,10,1209126,,,,India
1399b39c,Anmolpreet Singh,10,851261,,,,India
4885bbe6,Yudhvir Singh,9,1206052,,,,India
d718440b,V Pratap Singh,9,528967,,,,India
fb693839,S Ladda,9,317292,,,,India
663b5e34,PN Mankad,9,956871,,,,India
cf0ccafa,M Siddharth,9,1151286,,,,India
1647bd37,Karanveer Singh,9,322535,,,,India
6ef60d3a,Kamran Khan,9,391121,,,,India
fa2f1dde,K Khejroliya,9,1083033,,,,India
acd4f5dc,DP Vijaykumar,9,272949,,,,India
02dfebbe,Yash Raj Punja,8,1515186,,,,India
0494fa6e,Vishnu Vinod,8,732293,,,,India
40caa465,T Kohli,8,331855,,,,India
acc1aeda,SP Jackson,8,237696,,,,India
dddca1d6,SB Wagh,8,279552,,,,India
756389bd,S Vidyut,8,35619,,,,India
de4b0555,R Shukla,8,390547,,,,India
0c432afb,P Parameswaran,8,279562,,,,India
ed5a5510,P Dubey,8,777515,,,,India
a457cfb5,Mayank Dagar,8,942367,,,,India
cc61ee8f,Gurjapneet Singh,8,1269869,,,,India
faa7365d,DR Shorey,8,590327,,,,India
53f27a35,BB Samantray,8,430125,,,,India
d2340a43,Anand Rajan,8,26797,,,,India
8a668774,Shoaib Ahmed,7,317709,,,,India
287686fd,S Narwal,7,32084,,,,India
ece7b6b3,PP Hinge,7,1216167,,,,India
a2870fb7,Niraj Patel,7,32240,,,,India
605b7efa,MC Juneja,7,390480,,,,India
798cc28e,KM Asif,7,1083030,,,,India
dded65e7,IR Jaggi,7,279554,,,,India
ebcfef83,Himmat Singh,7,80523,,,,India
a84468fe,DJ Jacobs,7,45782,,,,Australia
3ae3f034,AUK Pathan,7,430401,,,,India
260fd380,AM Salvi,7,34264,,,,India
1efb8a28,AC Blizzard,7,4498,,,,Australia
bff458c6,AA Bilakhia,7,26946,,,,India
30e37810,Sunny Singh,6,35282,,,,India
