person_id,name,matches,stumpings,is_keeper
30a45b23,SPD Smith,102,0,
5fa06777,IK Pathan,102,0,
890946a0,NV Ojha,101,10,y
e62dd25d,K Rabada,101,0,
91a4a398,Z Khan,99,0,
77255a9e,RA Tripathi,99,0,
86dc8f2e,JH Kallis,98,0,
33a364a6,R Bhatia,95,0,
8fd1a8f5,DW Steyn,95,0,
244048f6,Arshdeep Singh,95,0,
26e5cabf,MK Tiwary,94,0,
5b7ab5a9,CV Varun,94,0,
48a1d7b7,SO Hetmyer,93,0,
04a418e8,R Parag,92,0,
d2a989fc,DS Kulkarni,92,0,
f29185a1,Abhishek Sharma,92,0,
35205dfc,DR Smith,91,0,
6c6591ab,PP Ojha,90,0,
c3d35165,JA Morkel,90,0,
2c25d4f5,D Padikkal,90,0,
b8d490fd,AJ Finch,90,0,
119678fd,KV Sharma,89,0,
bd17b45f,STR Binny,88,0,
a4e37e47,S Dube,88,0,
0184dc35,R Dravid,88,0,
96fd40ae,A Nehra,88,0,
944533a5,KK Nair,87,0,
df064e1a,Ravi Bishnoi,86,0,
45a43fe2,RD Gaikwad,85,0,
99d63244,KM Jadhav,85,7,y
2e8994e7,JP Duminy,84,0,
6c19c6e5,YBK Jaiswal,82,0,
c3d1402f,RP Singh,82,0,
eef2536f,Avesh Khan,82,0,
f19ccfad,Washington Sundar,81,0,
fb66ce1f,CH Morris,81,0,
2ed569a0,RD Chahar,80,0,
ded9240e,PJ Cummins,80,0,
d18f9182,DPMD Jayawardene,80,0,
2b6e6dec,AC Gilchrist,80,16,y
8b3e9c7c,PP Shaw,79,0,
d2c2b2d5,SR Tendulkar,78,0,
85e0cf10,M Prasidh Krishna,78,0,
d027ba9f,KS Williamson,78,0,
d2a6c0e6,EJG Morgan,78,0,
0994d0ae,V Shankar,77,0,
709b0bac,SS Tiwary,77,0,
3d7e087f,SK Trivedi,76,0,
a2f46292,KK Ahmed,76,0,
66b30f71,AB Dinda,76,0,
ce794613,T Natarajan,73,0,
3576e47e,S Badrinath,73,0,
b2b50355,L Balaji,73,0,
7dc35884,Shakib Al Hasan,72,0,
bb351c23,MM Ali,72,0,
508a1ea7,SE Marsh,71,0,
9d80c5e1,S Nadeem,71,0,
5bb5a915,M Morkel,70,0,
800d2d97,JM Sharma,69,7,y
6a26221c,AK Markram,69,0,
b0482a1d,Tilak Varma,68,0,
3d8feaf8,MR Marsh,68,0,
6b71e6cf,KC Sangakkara,68,9,y
5574750c,JC Archer,68,0,
0a509d6b,RK Singh,67,0,
9418198b,P Simran Singh,66,2,y
4ba44e19,M Muralitharan,66,0,
8e514b4c,Abdul Samad,65,0,
e94915e6,SM Curran,64,0,
32198ae0,MC Henriques,64,0,
b57f8a9a,BJ Hodge,64,0,
a24be938,VR Iyer,63,0,
f0f628c7,MM Patel,63,0,
fd835ab3,DJ Hussey,63,0,
872b03f7,A Badoni,62,0,
f1f99156,TH David,61,0,
f9e6e7ef,Shahbaz Ahmed,61,0,
235c2bb6,H Klaasen,61,7,y
0a8fce53,Mustafizur Rahman,60,0,
808f425a,JP Faulkner,60,0,
acee4cc4,Imran Tahir,59,0,
fe763256,Y Venugopal Rao,58,0,
c8179c68,SB Jakati,58,0,
48fd7349,MEK Hussey,58,0,
725529bc,SC Ganguly,57,0,
3fb19989,MA Starc,57,0,
7dcb9bc9,M Shahrukh Khan,57,0,
0f721006,JO Holder,57,0,
d5130a30,B Sai Sudharsan,57,0,
51a3c5ef,MJ McClenaghan,56,0,
abfeb126,M Kartik,56,0,
bb18be76,SK Warne,55,0,
dcf81436,S Kaul,55,0,
b61a3e1a,LRPL Taylor,55,0,
13c35c9e,TG Southee,54,0,
f5180fe6,MG Johnson,54,0,
46a9bea1,TU Deshpande,53,0,
12b610c2,TM Head,53,0,
c03e2850,M Vohra,53,0,
5bdcdb72,TM Dilshan,52,0,
c740ea83,RM Patidar,52,0,
2f9d0389,LH Ferguson,52,0,
03806cf8,JR Hazlewood,52,0,
abb83e27,JM Bairstow,52,4,y
7a8bd078,S Gopal,51,0,
efc04be7,Noor Ahmad,51,0,
50c6bc2b,LS Livingstone,51,0,
bcf325d2,Dhruv Jurel,51,1,y
2a2e6343,DT Christian,51,0,
a45a5e8d,AM Nayar,51,0,
0a3d54b9,VR Aaron,50,0,
f088b960,SN Khan,50,0,
c05edf8e,Harpreet Brar,50,0,
f62772e5,P Negi,49,0,
acdc62f5,A Nortje,49,0,
85aae393,Iqbal Abdulla,48,0,
81c36ee9,M Jansen,47,0,
d0513f63,CL White,47,0,
b1451597,LR Shukla,46,0,
896d78ad,AD Mathews,46,0,
85b3fab2,T Stubbs,45,1,y
26989d80,Shashank Singh,45,0,
e087956b,BA Stokes,45,0,
6b8eb6e5,S Sreesanth,44,0,
5d9a1a73,R Sharma,44,0,
ae78bc32,MS Gony,44,0,
e2db2409,M Ashwin,44,0,
7210d461,Yash Dayal,43,0,
aaa1b522,TL Suman,43,0,
9fc0ef64,PJ Sangwan,43,0,
eaa76d3c,C Green,43,0,
7c3b3b78,VG Arora,42,0,
26a85969,R Dhawan,42,0,
aad0c365,Nithish Kumar Reddy,42,0,
2cffab74,Mukesh Kumar,42,0,
45eda7c8,CA Lynn,42,0,
fa463154,AB Agarkar,42,0,
0c2730df,A Kumble,42,0,
da934ee8,MK Lomror,41,0,
c42aaf71,M Manhas,41,0,
90de905a,K Gowtham,41,0,
3d284ca3,PD Salt,40,0,
a9fd84fb,M Markande,40,0,
9440ef41,Suyash Sharma,39,0,
650d5e49,R Powell,39,0,
5afd4539,MS Bisla,39,7,y
5056011d,GJ Bailey,39,0,
957532de,S Aravind,38,0,
56ab442f,NM Coulter-Nile,38,0,
0f12f9df,NLTC Perera,38,0,
d1a60072,N Wadhera,38,0,
f24c6701,M Theekshana,38,0,
dd09ff8e,B Lee,38,0,
12eddf28,RJ Harris,37,0,
a97c8ec2,PWH de Silva,37,0,
6eb146d2,Gurkeerat Singh,37,1,y
fffa744b,Naman Dhir,36,0,
e4a0deae,MJ Santner,36,0,
39f01cdb,KP Pietersen,36,0,
e1d1b294,HH Gibbs,36,0,
ffe699c0,CJ Jordan,36,0,
bd77eb62,A Symonds,36,0,
3a60e0b5,WD Parnell,34,0,
c38d3503,Shivam Mavi,34,0,
be24ead0,Ramandeep Singh,34,0,
7c503806,J Botha,34,0,
d7c6af50,DL Vettori,34,0,
ad3b6e95,Abishek Porel,34,0,
d7017798,A Raghuvanshi,34,1,y
6aed7e79,PV Tambe,33,0,
1a0c3177,P Awana,33,0,
21d4e29b,NA Saini,33,0,
64839cb3,M Pathirana,33,0,
5d2eea49,Kartik Tyagi,33,0,
c5aef772,R Shepherd,32,0,
d8699ab7,ML Hayden,32,0,
77b1aa15,Harshit Rana,32,0,
626c5379,R Sathish,31,0,
b5797845,Priyansh Arya,31,0,
855a210c,AP Tare,31,6,y
f233bbb4,ST Jayasuriya,30,0,
c33d8116,Mohsin Khan (2),30,0,
f3cb53a1,MV Boucher,30,3,y
8abdf100,CJ Anderson,30,0,
c18496e1,Bipul Sharma,30,0,
e4cdf230,AS Roy,30,0,
7c7d63a2,AJ Tye,30,0,
541f85c9,SP Goswami,29,7,y
89f64c19,LMP Simmons,29,0,
91ffa6c6,JD Ryder,29,0,
72861603,GC Smith,29,0,
c404f58a,DP Nannes,29,0,
db31895a,AS Rajpoot,29,0,
9caf69a1,WG Jacks,28,0,
c16d4035,SW Billings,28,1,y
d014d5ac,SE Rutherford,28,0,
ad427b5c,Lalit Yadav,28,0,
4125d931,J Suchith,28,0,
df5a6881,DP Conway,28,0,
b720a5d6,DB Ravi Teja,28,0,
844e79d1,D Brevis,28,0,
84d9c311,Ashutosh Sharma,28,0,
1c2a64cd,A Ashish Reddy,28,0,
5d096f3d,RR Powar,27,0,
c7a995d3,R Sai Kishore,27,0,
d84378a4,M Kaif,27,0,
f834dcfc,L Ngidi,27,0,
2a72fd4f,Harmeet Singh,27,0,
0ebfb1ad,E Lewis,27,0,
45c2196c,DE Bollinger,27,0,
81c08fa3,Umran Malik,26,0,
4ec07775,RN ten Doeschate,26,0,
e66732f8,RD Rickelton,26,5,y
12314277,Arshad Khan (2),26,0,
8291f939,AL Menaria,26,0,
54e52590,Vijaykumar Vyshak,25,0,
b8527c3d,Rasikh Salam,25,0,
557153ca,KK Cooper,25,0,
94d7f855,C de Grandhomme,25,0,
871e9faf,Basil Thampi,25,0,
0890552f,A Manohar,25,0,
fcc21ace,A Kamboj,25,0,
7ca5e05d,RS Bopara,24,0,
765a4731,Mukesh Choudhary,24,0,
62af8546,Mohammad Nabi,24,0,
e0407c01,IC Pandey,24,0,
7050a1e7,DB Das,24,0,
d8b2f218,BB Sran,24,0,
c8f5f961,Anuj Rawat,24,0,
662c47a6,Y Nagar,23,0,
470f446b,V Suryavanshi,23,0,
cad00a4d,RR Rossouw,23,0,
25eeb281,PC Valthaty,23,0,
7bf96684,OA Shah,23,0,
94253925,GH Vihari,23,0,
13fc5c6d,DS Rathi,23,0,
063b3673,DH Yagnik,23,5,y
d4f9dbd4,CA Pujara,23,0,
9a158001,Azhar Mahmood,23,0,
a3b0600d,Aniket Verma,23,0,
5b040b81,A Singh,23,0,
4b31f3a3,Yash Thakur,22,0,
0c94f480,UBT Chand,22,0,
f89d3b11,Sameer Rizvi,22,0,
bb965e9a,PK Garg,22,0,
81049310,J Yadav,22,0,
5750bcb4,E Malinga,22,0,
c03c6200,DJG Sammy,22,0,
5451a2c1,B Chipli,22,0,
69be866a,Anureet Singh,22,0,
c69a7b5c,AS Raut,22,0,
b0946605,AS Joseph,22,0,
14f96089,A Zampa,22,0,
addfb70e,SW Tait,21,0,
05c2ca46,RE van der Merwe,21,0,
d1c36f5c,JJ Roy,21,0,
f708a0bc,GB Hogg,21,0,
4c5d73db,CR Woakes,21,0,
2e11c706,BCJ Cutting,21,0,
24d94623,Ankit Sharma,21,0,
2815fe50,AA Jhunjhunwala,21,0,
de8cce37,VVS Laxman,20,0,
ae091d39,SA Asnodkar,20,0,
3fca55af,S Sohal,20,0,
80b2fb19,Prince Yadav,20,0,
327b58d3,PVD Chameera,20,0,
7d92277a,Mujeeb Ur Rahman,20,0,
ab89348d,MF Maharoof,20,0,
a1f1829d,K Goel,20,0,
2498e163,JR Hopes,20,0,
2cdce1be,C Sakariya,20,0,
5ffc0565,V Nigam,19,0,
cf73ad76,JEC Franklin,19,0,
aa8d28ae,D Wiese,19,0,
f0af99a7,D Ferreira,19,0,
034b4b7d,VRV Singh,18,0,
6b2ff18f,SB Dubey,18,0,
0bacade8,Rahmanullah Gurbaz,18,0,
64775749,RP Meredith,18,0,
ba5e1069,R Ravindra,18,0,
c654af19,R McLaren,18,0,
9eb1455b,NT Ellis,18,0,
465aa633,N Burger,18,0,
b63ab531,LA Pomersbach,18,0,
8f6dd463,Azmatullah Omarzai,18,0,
93a17209,VY Mahesh,17,0,
95a2ea61,S Anirudha,17,0,
e32d22f6,Pankaj Singh,17,0,
c0c411cb,Naveen-ul-Haq,17,0,
6afb26d6,MD Mishra,17,0,
4933f499,JP Behrendorff,17,0,
caf69bf7,DR Sams,17,0,
e342e5fb,CR Brathwaite,17,0,
f3171936,BW Hilfenhaus,17,0,
4bd09374,Akash Madhwal,17,0,
2af1b6d2,AN Ahmed,17,0,
4e04666c,YV Takawale,16,4,y
de8d3876,M Rawat,16,2,y
b4f5c2d9,KL Nagarkoti,16,0,
f6d8a7ab,K Kartikeya,16,0,
9f961c14,Joginder Sharma,16,0,
989889ff,JP Inglis,16,1,y
9b6e1b3f,J Fraser-McGurk,16,0,
e798611a,HM Amla,16,0,
66cf56a5,A Mithun,16,0,
0aadc906,PR Shah,15,3,y
f846de6a,MN Samuels,15,0,
dfc4d8b5,KW Richardson,15,0,
d92e42f5,KP Appanna,15,0,
68c56d09,KA Jamieson,15,0,
3eac9d95,JDP Oram,15,0,
9a46c4e5,GD Phillips,15,0,
eade4650,DJ Mitchell,15,0,
c995d726,CA Ingram,15,0,
dc4686e6,BA Bhatt,15,0,
af7dadf7,B Akhil,15,0,
b552a935,AC Thomas,15,0,
983f2f61,Swapnil Singh,14,0,
30df8c66,Simarjeet Singh,14,0,
dc9dd038,Sachin Baby,14,0,
2049f3a0,SJ Srivastava,14,0,
c24a2c5d,S Tyagi,14,0,
2728e7e9,P Dogra,14,0,
afa7e784,MS Wade,14,1,y
7daedf2f,KB Arun Karthik,14,2,y
9219eff0,JDS Neesham,14,0,
ee7d0c82,GD McGrath,14,0,
3204c99f,G Coetzee,14,0,
c15e2193,FY Fazal,14,0,
0a67aec0,Akash Deep,14,0,
3b53243a,XC Bartlett,13,0,
bcce309e,WPUJC Vaas,13,0,
5f26df4f,VS Malik,13,0,
e86754b2,TK Curran,13,0,
7b44eb3e,Shivang Kumar,13,0,
88fccd6c,SM Pollock,13,0,
b2570b38,RV Gomez,13,0,
6c882e9a,PBB Rajapaksa,13,0,
2be41edb,MJ Guptill,13,0,
73c18486,KR Mayers,13,0,
59559bc2,J Overton,13,0,
0c9652b0,HR Shokeen,13,0,
30a2649b,CM Gautam,13,4,y
af2c687b,C Munro,13,0,
fe366f34,C Connolly,13,0,
133bbd61,Brijesh Sharma,13,0,
3edb58fc,AD Mascarenhas,13,0,
29d72eb2,AA Chavan,13,0,
b2b4f545,A Mhatre,13,0,
9385de2e,SS Prabhudessai,12,0,
83c3e8e3,SH Johnson,12,0,
57efa3be,SB Styris,12,0,
76388dc8,S Badree,12,0,
d68e7f48,R Rampaul,12,0,
11df3dc8,MJ Lumb,12,0,
2e78f685,KR Sen,12,0,
e9c7f0d0,Fazalhaq Farooqi,12,0,
b483905d,Akash Singh,12,0,
ef5da05c,AG Murtaza,12,0,
99b202b3,A Chandila,12,0,
4353bba5,YA Abdulla,11,0,
3dba85c2,WA Mota,11,0,
64d43928,Sohail Tanvir,11,0,
d7423da1,Salil Arora,11,0,
280fff14,Sakib Hussain,11,0,
fdedb37c,SM Katich,11,0,
0604ef16,SB Bangar,11,0,
9170ff49,Parvez Rasool,11,0,
2461eef2,PA Reddy,11,0,
7b679de5,Kartik Sharma,11,0,
edb3d4f8,KC Cariappa,11,0,
c64c2443,J Syed Mohammad,11,0,
9061a703,J Little,11,0,
25228673,Harsh Dubey,11,0,
4ae1755b,HC Brook,11,0,
bf74b130,FH Allen,11,0,
7f048519,DJ Willey,11,0,
378daa89,Aman Hakim Khan,11,0,
9ca68676,AM Ghazanfar,11,0,
350bb1b1,AF Milne,11,0,
36619795,Zeeshan Ansari,10,0,
cf59b3f0,Urvil Patel,10,0,
245c97cb,TS Mills,10,0,
970ddd24,Suryansh Shedge,10,0,
0dc00542,Shahid Afridi,10,0,
eea6b7f1,SP Fleming,10,0,
