franchise_season_id,squad,person_id,name,matches,stumpings,catches,catch_rank,balls_bowled,keeper_elsewhere,cricinfo_id,kept
114,2010 Kings XI Punjab,d18f9182,DPMD Jayawardene,13,0,6,1,0,,49289,
114,2010 Kings XI Punjab,5afd4539,MS Bisla,10,0,4,3,0,y,27280,
68,2010 Kolkata Knight Riders,fe11caa6,WP Saha,9,3,3,1,0,y,279810,y
68,2010 Kolkata Knight Riders,b8a55852,BB McCullum,5,0,2,2,0,y,37737,
68,2010 Kolkata Knight Riders,d4f9dbd4,CA Pujara,6,0,2,3,0,,32540,
92,2010 Mumbai Indians,855a210c,AP Tare,5,2,1,6,0,y,333904,y
92,2010 Mumbai Indians,70d205c9,AT Rayudu,14,1,6,1,0,y,33141,y
92,2010 Mumbai Indians,0a476045,S Dhawan,11,0,4,2,0,,28235,
92,2010 Mumbai Indians,d2c2b2d5,SR Tendulkar,15,0,3,3,0,,35320,
133,2010 Rajasthan Royals,890946a0,NV Ojha,14,2,4,2,0,y,32102,y
133,2010 Rajasthan Royals,11df3dc8,MJ Lumb,11,0,4,1,0,,16406,
133,2010 Rajasthan Royals,c69a7b5c,AS Raut,7,0,2,3,0,,230593,
152,2010 Royal Challengers Bangalore,1c17e270,RV Uthappa,16,3,7,1,0,y,35582,y
152,2010 Royal Challengers Bangalore,f3cb53a1,MV Boucher,4,2,3,6,0,y,44111,y
152,2010 Royal Challengers Bangalore,93b4fc78,MK Pandey,13,0,6,2,0,,290630,
152,2010 Royal Challengers Bangalore,d2a6c0e6,EJG Morgan,5,0,4,3,0,,24598,
152,2010 Royal Challengers Bangalore,541f85c9,SP Goswami,1,0,0,,0,y,302579,
20,2011 Chennai Super Kings,4a8a2e3b,MS Dhoni,13,5,5,4,0,y,28081,y
20,2011 Chennai Super Kings,95a2ea61,S Anirudha,8,0,8,1,0,,26798,
20,2011 Chennai Super Kings,48fd7349,MEK Hussey,14,0,6,2,0,,5939,
20,2011 Chennai Super Kings,4b57e452,M Vijay,16,0,5,3,0,,237095,
20,2011 Chennai Super Kings,fe11caa6,WP Saha,4,0,2,5,0,y,279810,
37,2011 Deccan Chargers,6b71e6cf,KC Sangakkara,13,2,17,1,0,y,50710,y
37,2011 Deccan Chargers,62e07f92,KH Devdhar,1,1,0,,0,,340063,y
37,2011 Deccan Chargers,d0513f63,CL White,6,0,2,2,0,,8291,
37,2011 Deccan Chargers,dded65e7,IR Jaggi,2,0,1,3,0,,279554,
42,2011 Delhi Daredevils,8ba8195d,V Sehwag,11,0,9,1,0,,35263,
42,2011 Delhi Daredevils,890946a0,NV Ojha,14,0,8,2,0,y,32102,y
